,Unnamed: 0,year,state,agency_name,fips_state_code,fips_county_code,fips_state_county_code,population,rec_legal,med_legal,narc_per_cap,synth_per_cap,other_per_cap,total_drug_per_cap,violent_per_cap,prop_per_cap,cpi,hhic,hhic_inf,educ,unemp,white,black,hisp,dem_gov,officer_emp,officer_per_cap,state_agency
30,30,2008,california,baldwin park,6,37,6037,78031,0.0,1.0,4.357242634,0.0,13.96880727,18.3260499,25.63083903,29.47546488,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1219.130858,californiabaldwin park
31,31,2008,california,bellflower,6,37,6037,73488,0.0,1.0,18.0981929,0.0,31.29762682,49.39581973,37.28499891,31.97801002,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1294.497061,californiabellflower
32,32,2008,california,burbank,6,37,6037,103640,0.0,1.0,23.35005789,0.0,26.05171748,49.40177538,27.78849865,80.37437283,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,917.888846,californiaburbank
33,33,2008,california,compton,6,37,6037,94519,0.0,1.0,116.1671198,0.0,43.06012548,159.2272453,87.60143463,49.19645786,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1006.464309,californiacompton
34,34,2008,california,santa clarita,6,37,6037,171821,0.0,1.0,8.439015021,0.0,20.07903574,28.51805076,24.38584341,41.38027366,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,553.6575855,californiasanta clarita
35,35,2008,california,downey,6,37,6037,108184,0.0,1.0,10.44516749,0.0,8.596465281,19.04163277,27.1759225,72.19182134,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,879.3352067,californiadowney
36,36,2008,california,gardena,6,37,6037,58814,0.0,1.0,23.12374605,0.0,26.52429694,49.64804298,43.01696875,69.2012106,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1617.47203,californiagardena
37,37,2008,california,glendale,6,37,6037,197182,0.0,1.0,16.68509296,0.0,19.32225051,36.00734347,21.90869349,85.70762037,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,482.4476879,californiaglendale
38,38,2008,california,hawthorne,6,37,6037,84445,0.0,1.0,9.355201611,0.0,10.18414353,19.53934514,51.39439872,56.8417313,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1126.532062,californiahawthorne
39,39,2008,california,huntington park,6,37,6037,61307,0.0,1.0,8.808129577,0.0,15.00644298,23.81457256,52.52255044,104.5557604,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1551.698827,californiahuntington park
40,40,2008,california,inglewood,6,37,6037,113454,0.0,1.0,18.42156292,0.0,12.16352002,30.58508294,47.68452412,54.47141573,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,838.4896081,californiainglewood
41,41,2008,california,lakewood,6,37,6037,78894,0.0,1.0,12.54848277,0.0,25.4772226,38.02570538,23.06892793,74.02337313,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1205.795117,californialakewood
42,42,2008,california,long beach,6,37,6037,467055,0.0,1.0,24.96493989,0.0,38.13255398,63.09749387,48.90216356,59.82164841,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,203.6805087,californialong beach
43,43,2008,california,los angeles,6,37,6037,3850920,0.0,1.0,29.66823512,0.0,13.71620288,43.384438,37.6221786,32.78697039,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,24.70318781,californialos angeles2
44,44,2008,california,lynwood,6,37,6037,70381,0.0,1.0,60.24353163,0.0,65.07438087,125.3179125,53.28142538,47.88224095,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1351.643199,californialynwood
45,45,2008,california,norwalk,6,37,6037,103612,0.0,1.0,57.13623905,0.0,32.3321623,89.46840134,29.5332587,37.73694167,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,918.1368953,californianorwalk
46,46,2008,california,palmdale,6,37,6037,144109,0.0,1.0,25.60561797,0.0,35.25109466,60.85671263,56.06867024,86.04597909,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,660.1253218,californiapalmdale
47,47,2008,california,paramount,6,37,6037,55636,0.0,1.0,17.61449421,0.0,24.26486448,41.87935869,35.40872816,46.91207132,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1709.864117,californiaparamount
48,48,2008,california,pasadena,6,37,6037,144545,0.0,1.0,19.30194749,0.0,33.89947767,53.20142516,39.98754713,59.84295548,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,658.1341451,californiapasadena
49,49,2008,california,pico rivera,6,37,6037,63399,0.0,1.0,57.57188599,0.0,42.11422893,99.68611492,32.01943248,38.17094907,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1500.496853,californiapico rivera
50,50,2008,california,pomona,6,37,6037,153201,0.0,1.0,15.07823056,0.0,26.2400376,41.31826816,42.62374266,34.59507444,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,620.9489494,californiapomona
51,51,2008,california,redondo beach,6,37,6037,67469,0.0,1.0,6.373297366,0.0,11.70908121,18.08237857,20.30562184,69.36518994,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1409.98088,californiaredondo beach
52,52,2008,california,rosemead,6,37,6037,54633,0.0,1.0,18.48699504,0.0,28.18809145,46.67508649,16.10748083,43.92949316,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1741.255285,californiarosemead
53,53,2008,california,south gate,6,37,6037,97179,0.0,1.0,20.99218967,0.0,16.05285092,37.0450406,36.42762325,31.28247872,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,978.9151977,californiasouth gate
54,54,2008,california,torrance,6,37,6037,141819,0.0,1.0,11.21147378,0.0,21.43577377,32.64724755,20.87167446,74.53162129,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,670.7845916,californiatorrance
55,55,2008,california,west covina,6,37,6037,106524,0.0,1.0,9.10592918,0.0,25.53415193,34.64008111,30.88505877,105.9855056,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,893.0381886,californiawest covina
56,56,2008,california,whittier,6,37,6037,82727,0.0,1.0,30.94515696,0.0,26.59349426,57.53865123,27.80228946,51.37379574,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1149.926868,californiawhittier
57,57,2008,california,carson,6,37,6037,93170,0.0,1.0,21.46613717,0.0,28.44263175,49.90876892,30.80390684,47.54749383,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1021.036814,californiacarson
58,58,2008,california,lancaster,6,37,6037,147017,0.0,1.0,20.94995817,0.0,44.00851602,64.95847419,59.85702334,81.41915561,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,647.0680261,californialancaster
59,59,2008,california,madera,6,39,6039,72031,0.0,1.0,15.41003179,0.0,43.7311713,59.14120309,23.87860782,10.68984187,215.303,49000,22.75862389,9.0158422,9.6484257,80.3698999,5.200269,51.6118667,0,79,10.9675001,californiamadera
60,60,2008,california,marin,6,41,6041,65455,0.0,1.0,7.027728974,0.0,9.62493316,16.65266213,21.08318692,10.38881674,215.303,100000,46.44617121,42.2896668,3.5341532,80.5651566,2.635389,14.7674681,0,210,32.08311053,californiamarin
61,61,2008,california,novato,6,41,6041,52662,0.0,1.0,12.53275607,0.0,11.58330485,24.11606092,29.62287798,32.66112187,215.303,100000,46.44617121,42.2896668,3.5341532,80.5651566,2.635389,14.7674681,0,210,39.87695112,californianovato
62,62,2008,california,san rafael,6,41,6041,55589,0.0,1.0,14.93101153,0.0,18.16906222,33.10007376,24.2853802,54.68707838,215.303,100000,46.44617121,42.2896668,3.5341532,80.5651566,2.635389,14.7674681,0,210,37.77725809,californiasan rafael
63,63,2008,california,merced,6,47,6047,83089,0.0,1.0,30.20857153,0.0,110.2432332,140.4518047,37.91115551,24.91304505,215.303,47400,22.01548515,7.7970597,10.0885857,64.3442881,4.0713932,52.619251,0,201,24.1909278,californiamerced
64,64,2008,california,napa,6,55,6055,74420,0.0,1.0,8.734211234,0.0,23.51518409,32.24939532,6.584251545,7.524858909,215.303,72100,33.48768944,22.7500061,6.3386066,83.3929884,2.3738153,29.4642352,0,98,13.16850309,californianapa
65,65,2008,california,orange,6,59,6059,117003,0.0,1.0,14.52954198,0.0,29.14455185,43.67409383,14.70047777,12.64924831,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,158.4574754,californiaorange
66,66,2008,california,anaheim,6,59,6059,333746,0.0,1.0,15.13126749,0.0,26.96661533,42.09788282,28.8542784,36.97422591,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,55.55122758,californiaanaheim
67,67,2008,california,buena park,6,59,6059,79431,0.0,1.0,32.2292304,0.0,56.02346691,88.25269731,28.45236746,80.06949428,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,233.4101295,californiabuena park
68,68,2008,california,costa mesa,6,59,6059,108898,0.0,1.0,27.36505721,0.0,22.68177561,50.04683282,27.27322816,67.76983967,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,170.2510606,californiacosta mesa
69,69,2008,california,fountain valley,6,59,6059,55524,0.0,1.0,16.20920683,0.0,27.19544701,43.40465384,9.5454218,42.86434695,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,333.9096607,californiafountain valley
70,70,2008,california,fullerton,6,59,6059,132776,0.0,1.0,33.36446346,0.0,31.33096343,64.69542688,27.414593,47.52364885,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,139.6336687,californiafullerton
71,71,2008,california,garden grove,6,59,6059,165629,0.0,1.0,19.13916041,0.0,35.50102941,54.64018982,23.12396984,37.19155462,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,111.9369193,californiagarden grove
72,72,2008,california,huntington beach,6,59,6059,193241,0.0,1.0,14.28268328,0.0,18.26734492,32.5500282,14.28268328,29.3933482,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,95.94237248,californiahuntington beach
73,73,2008,california,la habra,6,59,6059,59202,0.0,1.0,21.11415155,0.0,35.13394818,56.24809973,22.97219689,35.80960103,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,313.1650958,californiala habra
74,74,2008,california,newport beach,6,59,6059,79821,0.0,1.0,20.29541098,0.0,28.81447238,49.10988336,19.66900941,40.84138259,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,232.2697035,californianewport beach
75,75,2008,california,orange,6,59,6059,134852,0.0,1.0,17.64897814,0.0,32.9991398,50.64811794,19.05793018,45.01230979,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,137.4840566,californiaorange2
76,76,2008,california,placentia,6,59,6059,50043,0.0,1.0,20.58229922,0.0,19.38333034,39.96562956,13.58831405,10.59089183,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,370.481386,californiaplacentia
77,77,2008,california,san clemente,6,59,6059,62719,0.0,1.0,10.36368565,0.0,16.58189703,26.94558268,14.82804254,18.81407548,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,295.6042029,californiasan clemente
78,78,2008,california,santa ana,6,59,6059,339674,0.0,1.0,21.81503442,0.0,30.0876723,51.90270671,25.52447347,37.24159047,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,54.58174603,californiasanta ana
79,79,2008,california,tustin,6,59,6059,71272,0.0,1.0,23.29105399,0.0,31.99012235,55.28117634,20.48490291,47.56426086,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,260.1302054,californiatustin
80,80,2008,california,westminster,6,59,6059,88730,0.0,1.0,6.198579962,0.0,15.66550208,21.86408205,21.30057478,69.08599121,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,208.9484954,californiawestminster
81,81,2008,california,yorba linda,6,59,6059,66272,0.0,1.0,4.677691936,0.0,8.751810719,13.42950266,4.828585225,11.01521004,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,279.7561564,californiayorba linda
82,82,2008,california,irvine,6,59,6059,209278,0.0,1.0,6.833016371,0.0,8.362082971,15.19509934,10.13006623,25.70743222,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,88.59029616,californiairvine
